angle1,angle2,angle3,angle4,angle5,angle6,letra
6,2,2,7,166,161,A
7,2,1,7,166,161,A
8,1,1,7,167,161,A
8,1,1,7,167,161,A
8,1,1,7,166,161,A
8,1,2,8,166,161,A
7,1,2,8,166,161,A
8,2,2,7,167,161,A
7,2,1,7,167,162,A
6,2,2,7,164,161,A
6,1,1,6,166,162,A
5,2,1,6,165,161,A
5,2,2,7,165,161,A
6,2,2,7,165,161,A
6,2,1,7,166,160,A
7,1,0,6,166,160,A
6,2,1,7,166,160,A
6,1,1,6,166,160,A
7,1,1,6,165,159,A
6,1,1,7,165,159,A
6,1,1,6,164,160,A
6,1,2,6,164,161,A
8,1,1,6,165,161,A
8,1,1,6,165,161,A
7,1,1,6,165,161,A
7,1,1,5,164,161,A
7,1,1,5,164,161,A
7,2,1,5,165,162,A
8,1,1,5,165,162,A
9,1,0,6,165,161,A
8,1,0,6,164,161,A
8,1,0,6,164,162,A
9,1,0,6,166,162,A
8,1,0,6,164,160,A
8,1,0,5,164,160,A
8,1,0,5,165,160,A
7,1,0,6,164,160,A
8,0,1,5,165,161,A
8,0,1,5,165,161,A
9,1,0,5,165,161,A
8,1,0,6,166,161,A
8,1,0,4,166,160,A
8,1,1,4,166,160,A
8,1,0,5,166,161,A
8,1,1,4,165,161,A
9,1,0,5,165,161,A
9,1,0,6,165,161,A
9,0,0,5,165,162,A
9,0,0,6,166,161,A
9,1,1,5,166,161,A
8,1,0,5,165,162,A
7,2,0,6,165,160,A
7,1,1,6,165,160,A
7,2,0,5,166,161,A
7,1,0,5,165,160,A
8,1,0,5,166,160,A
7,1,0,5,166,162,A
9,1,0,5,165,161,A
9,1,1,4,167,159,A
9,1,0,5,168,160,A
9,1,1,5,166,160,A
9,1,1,5,167,161,A
9,0,0,4,166,161,A
10,0,1,4,165,161,A
9,1,0,4,165,161,A
10,1,0,5,167,160,A
9,1,0,5,164,162,A
10,1,1,5,167,162,A
9,1,0,5,167,161,A
9,1,0,5,166,161,A
8,1,0,5,167,161,A
9,0,1,3,166,161,A
9,0,1,2,166,162,A
10,0,1,4,164,160,A
9,0,1,3,164,161,A
9,0,1,3,165,161,A
8,0,1,3,164,161,A
9,1,1,2,166,160,A
10,1,1,2,165,160,A
9,0,1,3,166,159,A
9,0,0,3,164,159,A
9,0,1,3,165,161,A
9,0,1,3,165,160,A
8,0,0,4,165,161,A
8,1,0,4,165,161,A
8,0,1,5,164,159,A
7,1,1,5,163,160,A
10,1,1,4,164,160,A
11,1,1,4,164,160,A
11,1,1,3,164,160,A
10,1,1,3,166,159,A
9,0,1,3,165,160,A
9,0,1,4,165,161,A
9,0,0,5,165,161,A
8,1,0,5,167,161,A
8,0,0,5,166,161,A
9,0,1,4,165,161,A
9,0,0,5,166,160,A
8,1,1,5,166,160,A
9,0,1,5,167,160,A
171,174,178,171,116,96,B
172,174,178,170,116,97,B
172,175,178,170,116,97,B
172,174,179,171,116,96,B
172,175,178,171,117,95,B
172,174,178,171,116,94,B
172,175,178,170,114,93,B
172,175,177,171,115,94,B
170,175,178,171,114,95,B
171,174,178,171,115,94,B
172,174,179,172,114,95,B
170,174,178,171,111,93,B
